Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,ertert (product.metafields.custom.ertert),Größentabelle (product.metafields.custom.grosentabelle),Material & Pflege (product.metafields.custom.material_pflege),Material & Pflege2 (product.metafields.custom.material_pflege2),Handelsartikelbeschreibung (product.metafields.import_information.trade_item_description),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
berlin-tee,,,,,,,,,Weiß,,,3XL,,,,,6851879_17228,226.796185,shopify,deny,manual,33.70,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,oz,PC040100,22.00,
berlin-tee,,,,,,,,,Weiß,,,4XL,,,,,6851879_17232,243.805898875,shopify,deny,manual,34.80,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,oz,PC040100,23.30,
berlin-tee,,,,,,,,,Weiß,,,5XL,,,,,6851879_17235,262.80007936875,shopify,deny,manual,35.90,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,oz,PC040100,24.60,
berlin-tee,,,,,,,,,Schwarz,,,S,,,,,6851879_11869,150.2524725625,shopify,deny,manual,31.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Schwarz,,,M,,,,,6851879_11870,170.09713875,shopify,deny,manual,31.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Schwarz,,,L,,,,,6851879_11871,175.767043375,shopify,deny,manual,31.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Schwarz,,,XL,,,,,6851879_11872,187.106852625,shopify,deny,manual,31.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Schwarz,,,2XL,,,,,6851879_11873,192.77675725,shopify,deny,manual,32.60,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,oz,PC040100,20.70,
berlin-tee,,,,,,,,,Schwarz,,,3XL,,,,,6851879_17229,226.796185,shopify,deny,manual,33.70,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,oz,PC040100,22.00,
berlin-tee,,,,,,,,,Schwarz,,,4XL,,,,,6851879_17233,243.805898875,shopify,deny,manual,34.80,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,oz,PC040100,23.30,
berlin-tee,,,,,,,,,Schwarz,,,5XL,,,,,6851879_17236,262.80007936875,shopify,deny,manual,35.90,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,oz,PC040100,24.60,
